symbol,market_cap
ADANIENT,305431.0
ADANIPORTS,311103.0
APOLLOHOSP,105085.0
ASIANPAINT,226246.0
AXISBANK,379913.0
BAJAJ-AUTO,235582.0
BAJFINANCE,588493.0
BAJAJFINSV,326593.0
BEL,302990.0
BHARTIARTL,1216200.0
CIPLA,121350.0
COALINDIA,242904.0
DRREDDY,108579.0
EICHERMOT,155227.0
ETERNAL,252704.0
GRASIM,194701.0
HCLTECH,467646.0
HDFCBANK,1545008.0
HDFCLIFE,173873.0
HEROMOTOCO,86413.0
HINDALCO,156710.0
HINDUNILVR,542027.0
ICICIBANK,1043359.0
ITC,523904.0
INDUSINDBK,66820.0
INFY,668007.0
JSWSTEEL,251613.0
JIOFIN,205497.0
KOTAKBANK,438992.0
LT,506022.0
M&M,398340.0
MARUTI,397468.0
NTPC,328038.0
NESTLEIND,237057.0
ONGC,305487.0
POWERGRID,278321.0
RELIANCE,2050710.0
SBILIFE,185495.0
SHRIRAMFIN,131627.0
SBIN,718789.0
SUNPHARMA,404912.0
TCS,1245020.0
TATACONSUM,111253.0
TATAMOTORS,252880.0
TATASTEEL,201547.0
TECHM,163959.0
TITAN,325480.0
TRENT,213986.0
ULTRACEMCO,359892.0
WIPRO,277830.0
